Time (s),Y Pos (m),X Pos (m),Vel (m/s),Angle (°),Ang Vel (rad/s),Lift (N),Drag (N),Reynolds,Turb X,Turb Y
0.000,1.500,0.000,0.000,30.0,0.000,0.00000,0.00000,0,0.110,0.052
0.010,1.499,0.000,0.098,30.0,-0.000,0.00004,0.00007,1308,-0.056,0.175
0.020,1.497,0.000,0.196,30.0,0.000,0.00018,0.00022,2615,-0.153,0.249
0.030,1.494,0.000,0.294,30.0,0.001,0.00045,0.00042,3921,-0.204,0.299
0.040,1.490,0.000,0.392,30.0,0.002,0.00086,0.00059,5225,-0.271,0.368
0.050,1.485,0.000,0.490,30.0,0.005,0.00130,0.00123,6530,-0.211,0.281
0.060,1.479,0.000,0.587,30.0,0.010,0.00196,0.00225,7827,-0.182,0.199
0.070,1.473,0.000,0.683,30.0,0.017,0.00203,0.00416,9112,-0.046,0.100
0.080,1.465,0.000,0.777,30.0,0.024,0.00228,0.00576,10366,0.001,0.082
0.090,1.456,0.000,0.870,30.1,0.031,0.00374,0.00584,11597,-0.114,0.147
0.100,1.447,0.000,0.963,30.1,0.044,0.00360,0.00950,12834,0.007,0.051
0.110,1.436,0.001,1.051,30.1,0.056,0.00331,0.01267,14015,0.087,0.021
0.120,1.425,0.001,1.136,30.1,0.066,0.00594,0.00997,15151,-0.099,0.152
0.130,1.412,0.001,1.225,30.2,0.087,0.00560,0.01322,16335,-0.024,0.115
0.140,1.399,0.001,1.310,30.3,0.106,0.00701,0.01360,17469,-0.070,0.151
0.150,1.385,0.002,1.395,30.3,0.131,0.00704,0.01583,18603,-0.039,0.149
0.160,1.371,0.002,1.478,30.4,0.155,0.00626,0.01510,19704,-0.027,0.220
0.170,1.355,0.003,1.561,30.5,0.175,0.00880,0.01645,20812,-0.080,0.216
0.180,1.339,0.003,1.643,30.6,0.206,0.01268,0.02470,21912,-0.080,0.092
0.190,1.321,0.004,1.718,30.8,0.251,0.01660,0.02811,22905,-0.122,0.066
0.200,1.304,0.005,1.790,31.0,0.311,0.01183,0.02947,23869,-0.032,0.108
0.210,1.285,0.006,1.859,31.2,0.350,0.01812,0.03564,24787,-0.090,0.042
0.220,1.266,0.008,1.923,31.4,0.414,0.02505,0.04232,25643,-0.139,-0.017
0.230,1.246,0.009,1.983,31.7,0.505,0.02200,0.05212,26437,-0.052,-0.065
0.240,1.226,0.011,2.030,32.0,0.579,0.02030,0.06324,27064,0.020,-0.118
0.250,1.205,0.013,2.064,32.4,0.641,0.01898,0.06344,27521,0.036,-0.089
0.260,1.184,0.015,2.098,32.8,0.697,0.01856,0.05755,27972,0.014,-0.021
0.270,1.163,0.017,2.138,33.2,0.754,0.02805,0.06651,28504,-0.044,-0.093
0.280,1.141,0.019,2.170,33.7,0.848,0.02478,0.05218,28939,-0.082,0.042
0.290,1.119,0.022,2.218,34.2,0.934,0.01937,0.07957,29574,0.093,-0.088
0.300,1.097,0.024,2.235,34.8,0.987,0.02676,0.09657,29795,0.092,-0.191
0.310,1.075,0.027,2.234,35.4,1.065,0.04874,0.07103,29788,-0.173,-0.100
0.320,1.053,0.030,2.270,36.1,1.247,0.03042,0.05015,30269,-0.141,0.105
0.330,1.030,0.034,2.322,36.9,1.358,0.02996,0.05021,30960,-0.135,0.132
0.340,1.006,0.038,2.373,37.7,1.466,0.05169,0.05308,31643,-0.270,0.087
0.350,0.982,0.042,2.434,38.7,1.665,0.06454,0.07268,32452,-0.254,-0.024
0.360,0.958,0.047,2.477,39.8,1.913,0.04280,0.06648,33028,-0.162,0.077
0.370,0.934,0.053,2.514,41.0,2.070,0.04867,0.06698,33525,-0.190,0.083
0.380,0.909,0.059,2.554,42.3,2.253,0.05316,0.09541,34049,-0.099,-0.028
0.390,0.884,0.065,2.560,43.7,2.444,0.05999,0.11265,34131,-0.065,-0.091
0.400,0.859,0.072,2.548,45.2,2.657,0.05058,0.13394,33969,0.056,-0.123
0.410,0.835,0.079,2.508,46.8,2.821,0.04807,0.13861,33434,0.105,-0.125
0.420,0.812,0.086,2.461,48.5,2.972,0.06583,0.18443,32810,0.190,-0.292
0.430,0.789,0.093,2.366,50.3,3.181,0.08269,0.18820,31549,0.179,-0.367
0.440,0.767,0.100,2.269,52.3,3.461,0.07419,0.14479,30249,0.111,-0.260
0.450,0.746,0.107,2.216,54.5,3.722,0.07120,0.15062,29549,0.176,-0.267
0.460,0.726,0.114,2.154,56.7,3.968,0.07655,0.14219,28726,0.166,-0.265
0.470,0.707,0.122,2.101,59.2,4.240,0.12243,0.16223,28016,0.131,-0.445
0.480,0.688,0.130,2.036,61.9,4.703,0.08455,0.09502,27143,-0.017,-0.184
0.490,0.669,0.138,2.038,64.7,5.027,0.11472,0.09103,27176,-0.114,-0.244
0.500,0.651,0.148,2.059,67.9,5.460,0.30049,0.07086,27456,-0.306,-0.256
0.510,0.633,0.160,2.197,71.6,6.454,0.13259,0.08777,29288,-0.223,-0.220
0.520,0.615,0.173,2.233,75.5,6.940,0.16583,0.09972,29769,-0.200,-0.297
0.530,0.598,0.188,2.268,79.9,7.533,0.11148,0.07412,30235,-0.215,-0.095
0.540,0.580,0.203,2.298,84.4,7.942,0.07457,0.05445,30639,-0.232,0.083
0.550,0.563,0.219,2.329,89.1,8.221,0.14250,0.09499,31051,-0.055,-0.111
0.560,0.546,0.235,2.325,94.1,8.744,0.12421,0.11279,30994,0.098,-0.017
0.570,0.530,0.251,2.276,99.4,9.219,0.18423,0.09767,30352,0.051,-0.173
0.580,0.515,0.268,2.265,105.0,9.850,0.22508,0.11745,30202,0.191,-0.233
0.590,0.502,0.286,2.227,111.1,10.616,0.16462,0.09774,29687,0.181,-0.067
0.600,0.489,0.303,2.182,117.5,11.202,0.33670,0.08045,29098,0.189,-0.137
0.610,0.479,0.322,2.175,124.6,12.245,0.22740,0.05538,28995,0.076,-0.112
0.620,0.469,0.342,2.184,131.9,12.884,0.15721,0.03877,29116,0.003,-0.028
0.630,0.461,0.362,2.191,139.6,13.301,0.12357,0.03105,29215,0.024,0.033
0.640,0.452,0.383,2.194,147.4,13.600,0.10050,0.02656,29253,0.147,0.043
0.650,0.444,0.403,2.196,155.3,13.796,0.02362,0.00960,29283,0.132,-0.014
0.660,0.435,0.423,2.224,163.2,13.809,0.04767,0.01354,29650,0.137,-0.161
0.670,0.425,0.443,2.250,171.1,13.880,0.04429,0.01119,30005,0.175,-0.104
0.680,0.413,0.463,2.288,179.1,13.985,0.00460,0.00254,30501,0.181,-0.175
0.690,0.401,0.483,2.336,-172.8,14.001,0.02398,0.01750,31153,0.200,-0.091
0.700,0.387,0.502,2.375,-164.8,14.091,0.04358,0.05221,31668,0.298,-0.149
0.710,0.372,0.521,2.385,-156.6,14.257,0.02656,0.05989,31796,0.102,-0.013
0.720,0.356,0.539,2.389,-148.4,14.347,0.00445,0.09780,31859,0.002,-0.193
0.730,0.340,0.556,2.357,-140.1,14.352,0.00009,0.11882,31428,-0.025,-0.218
0.740,0.324,0.573,2.307,-131.9,14.353,0.00056,0.09996,30755,-0.023,-0.017
0.750,0.308,0.589,2.276,-123.7,14.353,0.02553,0.11971,30343,-0.087,-0.176
0.760,0.292,0.604,2.232,-115.4,14.421,0.03759,0.12223,29765,-0.016,-0.128
0.770,0.276,0.619,2.185,-107.1,14.534,0.03571,0.08366,29133,-0.072,0.056
0.780,0.260,0.634,2.173,-98.7,14.654,0.04084,0.05729,28979,-0.149,0.163
0.790,0.244,0.649,2.189,-90.2,14.807,0.05341,0.05197,29181,-0.131,0.192
0.800,0.227,0.663,2.208,-81.6,15.013,0.07308,0.04188,29435,-0.153,0.175
0.810,0.211,0.678,2.239,-72.9,15.270,0.18649,0.04396,29855,-0.064,0.185
0.820,0.195,0.694,2.254,-63.8,15.889,0.17796,0.04309,30060,-0.005,0.140
0.830,0.179,0.711,2.265,-54.4,16.404,0.05041,0.01533,30201,-0.164,0.103
0.840,0.163,0.727,2.319,-44.9,16.465,0.00161,0.00574,30915,-0.110,0.062
0.850,0.146,0.744,2.381,-35.5,16.465,0.05262,0.01493,31748,-0.141,0.100
0.860,0.128,0.761,2.437,-26.0,16.543,0.09747,0.02368,32490,-0.100,0.062
0.870,0.109,0.776,2.488,-16.4,16.821,0.03215,0.01989,33167,-0.088,0.118
0.880,0.088,0.791,2.546,-6.7,16.937,0.01008,0.01038,33952,-0.079,0.146
0.890,0.067,0.806,2.616,3.0,16.975,0.00231,0.00530,34883,-0.144,0.183
0.900,0.045,0.821,2.692,12.8,16.983,0.00364,0.02053,35894,-0.164,0.226
0.910,0.021,0.836,2.754,22.5,16.992,0.00151,0.06464,36717,-0.072,0.034
